off_class,confidence,PMID,Journal
a_database,0.6556,10089497,Acta Crystallogr D
a_database,1,15858276,Acta Crystallogr D
a_database,0.7209,14993706,Acta Crystallogr D
a_database,1,23633602,Acta Crystallogr D
other,1,17620707,Acta Crystallogr F
other,0.6837,21821899,Acta Crystallogr F
a_program,0.6717,23385767,Acta Crystallogr F
a_database,0.666,19052364,Acta Crystallogr F
other,0.6844,25402774,Acta Cytol
other,1,23959063,Acta Diabetol
a_program,0.6858,10093641,Acta Histochem
a_program,0.6829,25132718,Acta Inform Med
other,0.6728,16095201,Acta Med Croatica
other,0.7306,12908008,Acta Med Okayama
a_program,1,16106744,Acta Medica (Hradec Kralove) Suppl
other,0.6557,11791351,Acta Microbiol Immunol Hung
a_database,1,22649669,Acta Naturae
a_database,1,14520540,Acta Neurochir (Wien)
other,1,16671415,Acta Neurochir Suppl
other,1,21125452,Acta Neurochir Suppl
other,1,25366634,Acta Neurochir Suppl
other,0.6789,18343933,Acta Neuropathol
other,1,12366489,Acta Obstet Gynecol Scand
other,1,24450806,Acta Obstet Gynecol Scand
a_program,1,12027814,Acta Obstet Gynecol Scand
other,1,20491523,Acta Oncol
other,1,14651202,Acta Oncol
a_database,0.6545,20491528,Acta Oncol
a_database,0.6832,21745130,Acta Oncol
a_database,1,22150118,Acta Oncol
other,0.7302,14992119,Acta Otorrinolaringol Esp
other,0.7208,16188737,Acta Paediatr
other,1,20874711,Acta Paediatr
a_program,0.6583,21841810,Acta Pharmacol Sin
a_program,0.6961,24487966,Acta Pharmacol Sin
a_database,1,19151741,Acta Pharmacol Sin
a_program,1,19207131,Acta Psychiatr Scand
other,1,17520426,Acta Radiol
a_database,1,24584870,Acta Sci Pol Technol Aliment
other,1,12020906,Acta Trop
a_program,0.6514,11378137,Acta Trop
a_database,0.4165,24681218,Acta Trop
a_program,0.7045,11887399,Acta Vet Scand
other,0.6161,20038363,Actas Dermosifiliogr
other,1,19775546,Actas Dermosifiliogr
other,0.6781,20800032,Actas Urol Esp
other,1,21611603,Acute Med
other,1,22795643,Addict Behav
other,0.7251,17092655,Addict Behav
a_program,1,20092953,Addict Behav
other,1,16759333,Addict Biol
a_program,0.7355,21054686,Addict Biol
other,0.6639,20078479,Addiction
other,1,11672489,Addiction
other,1,12033649,Addiction
other,1,21470324,Addiction
other,1,23487273,Adicciones
other,1,16473302,Adolesc Med Clin
other,1,18605651,Adolesc Med State Art Rev
other,1,18605655,Adolesc Med State Art Rev
a_program,0.6556,22888263,Adv Appl Bioinform Chem
a_program,0.6929,24187504,Adv Appl Bioinform Chem
a_program,1,21918633,Adv Appl Bioinform Chem
a_program,1,21918630,Adv Appl Bioinform Chem
other,0.6668,12227734,Adv Biochem Eng Biotechnol
other,1,12934926,Adv Biochem Eng Biotechnol
a_program,1,20049160,Adv Bioinformatics
other,0.7248,23809289,Adv Chronic Kidney Dis
other,1,20517493,Adv Cogn Psychol
other,1,21490237,Adv Dent Res
other,0.7552,15126210,Adv Dent Res
other,0.6679,15126212,Adv Dent Res
other,1,15250582,Adv Exp Med Biol
other,1,20865558,Adv Exp Med Biol
other,1,9781380,Adv Exp Med Biol
other,1,18372791,Adv Exp Med Biol
other,0.7248,20225016,Adv Exp Med Biol
other,0.7296,10987069,Adv Exp Med Biol
other,1,20865535,Adv Exp Med Biol
other,0.661,20865537,Adv Exp Med Biol
other,1,22161327,Adv Exp Med Biol
other,0.6206,24619614,Adv Exp Med Biol
other,1,25387969,Adv Exp Med Biol
a_program,0.6612,9781386,Adv Exp Med Biol
a_program,1,20865482,Adv Exp Med Biol
a_program,1,25387970,Adv Exp Med Biol
a_program,1,20865508,Adv Exp Med Biol
a_program,0.6875,22399321,Adv Exp Med Biol
a_program,0.6639,17966403,Adv Exp Med Biol
a_program,1,22161332,Adv Exp Med Biol
a_program,1,20865530,Adv Exp Med Biol
a_program,1,25381109,Adv Exp Med Biol
a_database,1,21431616,Adv Exp Med Biol
a_database,1,25091907,Adv Exp Med Biol
a_database,1,23402036,Adv Exp Med Biol
other,1,14743600,Adv Gerontol
a_program,0.6898,21510079,Adv Gerontol
a_program,0.6154,9889977,Adv Microb Physiol
other,1,22668690,Adv Neonatal Care
other,1,22123349,Adv Neonatal Care
other,0.6555,12760179,Adv Neurol
other,0.661,25469390,Adv Nutr
other,1,25469387,Adv Nutr
other,1,25037135,Adv Pediatr
other,1,17327578,Adv Physiol Educ
other,1,11824210,Adv Physiol Educ
other,1,14627615,Adv Physiol Educ
other,0.6667,22383404,Adv Physiol Educ
other,0.7137,16109792,Adv Physiol Educ
a_program,1,15718378,Adv Physiol Educ
a_program,1,12444005,Adv Physiol Educ
a_program,1,17562912,Adv Physiol Educ
a_program,0.6754,20522905,Adv Physiol Educ
a_program,0.586,18334570,Adv Physiol Educ
other,1,24732122,Adv Skin Wound Care
other,1,24253212,Adv Skin Wound Care
other,1,25608010,Adv Skin Wound Care
other,0.6068,21601058,Adv Virus Res
other,0.5952,19336146,Aesthet Surg J
other,0.7294,23636630,Aesthet Surg J
other,1,19338896,Aesthet Surg J
other,1,24604790,Aesthet Surg J
a_program,1,20442090,Aesthet Surg J
other,1,22258832,Aesthetic Plast Surg
other,1,23052381,Aesthetic Plast Surg
other,1,17703558,Afr J Med Med Sci
other,1,19424833,Age (Dordr)
a_database,1,22836712,Age (Dordr)
other,1,12446294,Age Ageing
other,1,23420266,Age Ageing
other,0.704,22522775,Age Ageing
other,1,17172602,Age Ageing
a_program,0.6965,25349151,Age Ageing
a_program,1,23524341,Aging (Albany NY)
a_database,1,23826631,Aging Cell
a_program,1,14628499,Aging Male
other,1,21069606,Aging Ment Health
a_program,1,17502729,AIDS
a_program,1,24100711,AIDS
other,1,19205864,AIDS Behav
other,1,20024766,AIDS Care
other,1,17453577,AIDS Care
a_program,0.7291,9135870,AIDS Res Hum Retroviruses
a_program,1,17451344,AIDS Res Hum Retroviruses
a_program,1,23809062,AIDS Res Hum Retroviruses
a_program,1,20961275,AIDS Res Hum Retroviruses
a_program,0.603,12643277,AIDS Res Hum Retroviruses
a_database,1,17530993,AIDS Res Hum Retroviruses
a_database,1,19025396,AIDS Res Hum Retroviruses
other,0.4047,21156070,AIDS Res Ther
other,1,19092979,AIDS Rev
other,1,15614962,AIDS Treat News
other,1,12569876,AIDS Treat News
other,0.7222,17233094,AIDS Treat News
other,0.6962,24763420,AJNR Am J Neuroradiol
a_program,1,8633428,AJR Am J Roentgenol
a_program,1,15269053,AJR Am J Roentgenol
a_database,0.6582,10628457,AJR Am J Roentgenol
other,1,19151160,Alcohol Alcohol
a_program,0.6276,18693217,Alcohol Alcohol
other,0.5035,15714050,Alcohol Clin Exp Res
other,1,25939685,Alcohol Clin Exp Res
other,1,23580039,Alcohol Res Health
other,0.6572,20047662,Algorithm Mol Biol
other,0.6635,22898240,Algorithm Mol Biol
other,0.6639,22992218,Algorithm Mol Biol
a_program,1,17927813,Algorithm Mol Biol
a_program,1,21429203,Algorithm Mol Biol
a_program,1,18990215,Algorithm Mol Biol
a_program,0.61,23849037,Algorithm Mol Biol
a_program,0.7171,21453542,Algorithm Mol Biol
a_program,1,23181935,Algorithm Mol Biol
a_program,1,21059250,Algorithm Mol Biol
a_program,1,20573197,Algorithm Mol Biol
a_program,1,20854683,Algorithm Mol Biol
a_program,1,21992500,Algorithm Mol Biol
a_program,1,23844614,Algorithm Mol Biol
a_program,1,17109757,Algorithm Mol Biol
a_program,1,21504602,Algorithm Mol Biol
a_program,1,19497096,Algorithm Mol Biol
a_program,1,16952321,Algorithm Mol Biol
a_program,0.6527,22551205,Algorithm Mol Biol
a_program,1,18577231,Algorithm Mol Biol
a_program,1,17877802,Algorithm Mol Biol
a_program,0.7073,17540014,Algorithm Mol Biol
a_program,0.3941,19849839,Algorithm Mol Biol
a_program,0.428,20929563,Algorithm Mol Biol
a_program,0.595,25285153,Algorithm Mol Biol
a_program,0.7031,19607690,Algorithm Mol Biol
a_program,0.7231,17118189,Algorithm Mol Biol
a_program,1,20525162,Algorithm Mol Biol
a_program,1,20525185,Algorithm Mol Biol
a_program,1,20470396,Algorithm Mol Biol
a_program,1,20047669,Algorithm Mol Biol
a_program,1,22551170,Algorithm Mol Biol
a_program,1,23009059,Algorithm Mol Biol
a_program,1,23216990,Algorithm Mol Biol
a_program,1,21261981,Algorithm Mol Biol
a_program,1,20633297,Algorithm Mol Biol
a_program,1,20831781,Algorithm Mol Biol
a_program,1,21418573,Algorithm Mol Biol
a_program,1,21672226,Algorithm Mol Biol
a_program,1,24708602,Algorithm Mol Biol
a_program,1,24735785,Algorithm Mol Biol
a_program,1,26042154,Algorithm Mol Biol
a_program,1,25649004,Algorithm Mol Biol
a_program,1,25648210,Algorithm Mol Biol
a_program,1,25648087,Algorithm Mol Biol
a_program,1,25648467,Algorithm Mol Biol
a_program,1,25691913,Algorithm Mol Biol
a_program,1,23590940,Algorithm Mol Biol
a_program,1,23601347,Algorithm Mol Biol
a_program,1,23566548,Algorithm Mol Biol
a_program,1,23497437,Algorithm Mol Biol
a_program,1,24602450,Algorithm Mol Biol
a_program,1,24656145,Algorithm Mol Biol
a_program,1,24074225,Algorithm Mol Biol
a_program,1,24180377,Algorithm Mol Biol
a_database,0.6721,25493095,Algorithm Mol Biol
other,0.7156,22449251,Aliment Pharmacol Ther
a_program,0.688,24099472,Aliment Pharmacol Ther
a_program,1,23413984,Aliment Pharmacol Ther
a_program,1,22971016,Aliment Pharmacol Ther
a_program,0.4351,21091524,Aliment Pharmacol Ther
a_program,1,25753000,Aliment Pharmacol Ther
other,0.7329,11434883,Allergol Immunopathol (Madr)
a_program,0.6721,24888382,Allergy
a_database,1,24738154,Allergy
other,1,20667123,Allergy Asthma Clin Immunol
a_program,0.7386,21310025,Allergy Asthma Clin Immunol
other,0.6525,16270724,Allergy Asthma Proc
other,1,22195685,Allergy Asthma Proc
other,1,23026181,Allergy Asthma Proc
other,0.7241,17411363,Altern Lab Anim
other,1,19154097,Altern Lab Anim
other,1,23577462,Altern Lab Anim
other,1,23581146,Altern Lab Anim
other,1,23581127,Altern Lab Anim
other,1,23581122,Altern Lab Anim
a_program,1,24773484,Altern Lab Anim
a_program,1,23614549,Altern Lab Anim
a_program,1,23581152,Altern Lab Anim
a_program,0.6542,12513674,Altern Lab Anim
other,1,21311847,ALTEX
other,1,19326030,ALTEX
other,1,19835056,ALTEX
other,1,12165816,ALTEX
a_program,1,24687303,ALTEX
a_database,0.6929,11105194,ALTEX
a_database,1,20390239,ALTEX
other,0.7282,20505434,Alzheimer Dis Assoc Disord
other,0.5756,9876955,Alzheimer Dis Assoc Disord
a_database,1,15592144,Alzheimer Dis Assoc Disord
other,1,21575877,Alzheimers Dement
other,1,22236739,Alzheimers Res Ther
other,0.3977,20187595,Am Fam Physician
other,0.5684,25965707,Am Heart J
other,0.6158,12811991,Am J Alzheimers Dis Other Demen
a_program,0.5884,24381135,Am J Alzheimers Dis Other Demen
other,0.6827,22645098,Am J Bot
a_database,0.7291,25326608,Am J Bot
a_database,1,21875969,Am J Bot
other,1,25697916,Am J Cardiol
a_program,1,8888667,Am J Cardiol
a_program,1,10606123,Am J Cardiol
other,1,20980486,Am J Clin Nutr
other,1,10837278,Am J Clin Nutr
other,1,21795436,Am J Clin Nutr
other,1,20032495,Am J Clin Nutr
other,1,21525193,Am J Clin Nutr
other,1,20392890,Am J Clin Nutr
other,1,19923371,Am J Clin Nutr
other,0.675,23783295,Am J Clin Nutr
other,1,22552026,Am J Clin Nutr
other,0.6515,21974891,Am J Clin Nutr
a_program,0.7105,10966918,Am J Clin Nutr
a_program,1,25030781,Am J Clin Nutr
a_database,1,18400740,Am J Clin Nutr
other,0.596,21654312,Am J Clin Oncol
other,1,16040298,Am J Clin Pathol
other,0.7306,16891206,Am J Clin Pathol
a_program,0.5953,17509991,Am J Clin Pathol
a_database,0.7263,11244141,Am J Contact Dermat
other,0.633,20349703,Am J Disaster Med
other,1,19069034,Am J Disaster Med
other,1,22221190,Am J Drug Alcohol Abuse
other,1,21976109,Am J Epidemiol
other,1,11117608,Am J Epidemiol
other,1,19095756,Am J Epidemiol
other,1,17878172,Am J Epidemiol
a_program,1,19126586,Am J Epidemiol
a_program,0.5977,21385832,Am J Epidemiol
a_program,0.6953,22842721,Am J Epidemiol
a_program,0.6832,24077092,Am J Epidemiol
a_database,1,9230782,Am J Epidemiol
a_database,0.6909,17053044,Am J Epidemiol
other,1,18184124,Am J Gastroenterol
a_database,1,24343547,Am J Gastroenterol
other,1,19288851,Am J Health Promot
a_program,0.6695,20852168,Am J Health Syst Pharm
a_database,0.6526,23261901,Am J Health Syst Pharm
a_database,0.5784,23913812,Am J Hematol
a_database,0.6847,22371334,Am J Hum Biol
other,1,9463320,Am J Hum Genet
other,1,9463328,Am J Hum Genet
other,1,9463337,Am J Hum Genet
other,0.6655,15024689,Am J Hum Genet
a_program,0.6579,14574645,Am J Hum Genet
a_program,0.7158,14997420,Am J Hum Genet
other,1,19479817,Am J Ind Med
other,1,21945114,Am J Infect Control
other,1,23928030,Am J Infect Control
a_database,1,17097458,Am J Infect Control
other,1,20347511,Am J Kidney Dis
other,0.7105,21530036,Am J Kidney Dis
other,1,18155544,Am J Kidney Dis
a_program,0.669,20303632,Am J Kidney Dis
a_program,1,19853198,Am J Kidney Dis
other,1,11464430,Am J Manag Care
other,1,22435961,Am J Manag Care
other,0.6831,22452293,Am J Manag Care
a_program,1,21348556,Am J Manag Care
other,0.688,22998891,Am J Med
other,1,20569735,Am J Med
other,1,22938936,Am J Med
other,1,22938935,Am J Med
other,1,21605717,Am J Med
other,1,20670699,Am J Med
other,0.6024,25447628,Am J Med
other,0.7222,22624694,Am J Med
other,1,22482859,Am J Med
other,1,22938934,Am J Med
other,1,25447629,Am J Med
other,1,24655741,Am J Med
a_database,1,22727241,Am J Med
other,1,10374746,Am J Med Genet
other,0.5912,10360398,Am J Med Genet
other,1,23401320,Am J Med Genet A
other,1,21834049,Am J Med Genet A
other,1,22987394,Am J Med Genet A
other,1,15216554,Am J Med Genet A
a_program,0.4205,19764039,Am J Med Genet A
a_database,1,24700709,Am J Med Genet A
a_database,1,22628075,Am J Med Genet A
other,1,22573399,Am J Med Genet B Neuropsychiatr Genet
other,0.6847,18548508,Am J Med Genet B Neuropsychiatr Genet
a_program,1,24616345,Am J Med Genet C Semin Med Genet
other,1,15782754,Am J Med Qual
other,0.6818,24713522,Am J Mens Health
a_program,1,23133808,Am J Nucl Med Mol Imaging
other,0.5966,21865934,Am J Nurs
other,0.5774,19325312,Am J Nurs
other,0.7115,19300003,Am J Nurs
other,1,19325322,Am J Nurs
other,1,21107077,Am J Nurs
other,1,25423393,Am J Nurs
other,1,25906208,Am J Nurs
other,1,18827537,Am J Nurs
other,1,22373688,Am J Nurs
other,1,22627356,Am J Nurs
other,1,24572536,Am J Nurs
no_URL,0.6656,19641415,Am J Nurs
a_program,0.675,25906229,Am J Nurs
a_database,1,20736711,Am J Nurs
other,1,17074543,Am J Obstet Gynecol
other,1,18395048,Am J Obstet Gynecol
other,0.5717,19121655,Am J Obstet Gynecol
a_program,1,11755852,Am J Ophthalmol
a_program,0.4068,24508161,Am J Ophthalmol
a_program,0.6805,12719082,Am J Ophthalmol
a_program,0.6754,23195366,Am J Orthod Dentofacial Orthop
other,0.718,14507652,Am J Pathol
other,0.7137,10487825,Am J Pathol
other,1,10079240,Am J Pathol
a_program,0.4207,9588877,Am J Pathol
a_program,1,12414504,Am J Pathol
a_program,0.7726,12819026,Am J Pathol
other,1,23161352,Am J Perinatol
a_database,1,12209575,Am J Phys Anthropol
a_database,1,24249590,Am J Phys Anthropol
a_database,1,24122086,Am J Phys Anthropol
a_program,1,11237279,Am J Phys Med Rehabil
other,1,24196532,Am J Physiol-Cell PH
other,0.6667,21940666,Am J Physiol-Cell PH
a_program,1,11698264,Am J Physiol-Cell PH
a_program,1,22723110,Am J Physiol-Cell PH
a_program,1,21956165,Am J Physiol-Cell PH
a_program,1,10794680,Am J Physiol-Cell PH
a_database,0.7174,21209370,Am J Physiol-Cell PH
a_database,1,22992673,Am J Physiol-Cell PH
a_program,0.5625,12907419,Am J Physiol-Heart C
a_database,0.6661,14500269,Am J Physiol-Reg I
a_database,1,19535680,Am J Physiol-Reg I
other,1,22674022,Am J Physiol-Renal
a_program,1,22647629,Am J Physiol-Renal
a_database,1,22114206,Am J Physiol-Renal
other,1,22898163,Am J Prev Med
a_program,0.675,21335268,Am J Prev Med
a_program,0.6639,18022067,Am J Prev Med
a_program,0.7054,11988383,Am J Prev Med
a_program,1,19147053,Am J Prev Med
a_program,0.4136,25122033,Am J Public Health
other,0.6486,10994641,Am J Reprod Immunol
a_database,1,22383585,Am J Respir Cell Mol Biol
other,1,20167847,Am J Respir Crit Care Med
other,0.6667,17975202,Am J Respir Crit Care Med
other,1,25531178,Am J Respir Crit Care Med
a_program,1,20167854,Am J Respir Crit Care Med
a_program,1,19590021,Am J Respir Crit Care Med
other,0.6687,11342768,Am J Surg Pathol
other,1,15252314,Am J Surg Pathol
other,1,21920017,Am J Transplant
other,1,22026730,Am J Transplant
other,1,25922984,Am J Transplant
other,1,23890284,Am J Transplant
a_program,1,20883559,Am J Transplant
other,1,17172391,Am J Trop Med Hyg
other,1,25246694,Am J Trop Med Hyg
a_program,1,20887190,Am Nat
other,1,11787392,Am Nurse
other,1,15511121,Am Psychol
other,1,22121983,Am Psychol
other,0.6576,24451827,Am Soc Clin Oncol Educ Book
other,0.4082,24857053,Am Soc Clin Oncol Educ Book
other,1,24451791,Am Soc Clin Oncol Educ Book
a_database,0.6186,20583511,Am Surg
a_program,1,11697258,Ambio
other,0.7391,23304326,AMIA Annu Symp Proc
other,0.3988,24551370,AMIA Annu Symp Proc
other,0.6853,14728484,AMIA Annu Symp Proc
other,1,20351846,AMIA Annu Symp Proc
other,1,14728183,AMIA Annu Symp Proc
other,1,18694076,AMIA Annu Symp Proc
other,1,18999202,AMIA Annu Symp Proc
other,0.6983,18693896,AMIA Annu Symp Proc
other,1,18694035,AMIA Annu Symp Proc
other,0.4022,17238774,AMIA Annu Symp Proc
other,1,17238459,AMIA Annu Symp Proc
other,1,25954400,AMIA Annu Symp Proc
other,1,24551401,AMIA Annu Symp Proc
other,1,18693902,AMIA Annu Symp Proc
other,0.696,14728482,AMIA Annu Symp Proc
other,1,25954459,AMIA Annu Symp Proc
other,0.411,16779326,AMIA Annu Symp Proc
other,0.4155,16779001,AMIA Annu Symp Proc
other,0.6897,18999008,AMIA Annu Symp Proc
other,0.8307,23304401,AMIA Annu Symp Proc
a_program,0.6833,17238659,AMIA Annu Symp Proc
a_program,0.7286,17238385,AMIA Annu Symp Proc
a_program,1,20351918,AMIA Annu Symp Proc
a_program,1,23304414,AMIA Annu Symp Proc
a_program,0.7267,18693933,AMIA Annu Symp Proc
a_program,0.4045,16779025,AMIA Annu Symp Proc
a_program,1,17238407,AMIA Annu Symp Proc
a_program,1,14728559,AMIA Annu Symp Proc
a_program,1,17238471,AMIA Annu Symp Proc
a_program,1,14728446,AMIA Annu Symp Proc
a_program,0.5867,23304327,AMIA Annu Symp Proc
a_program,0.7619,23304328,AMIA Annu Symp Proc
a_database,1,18998962,AMIA Annu Symp Proc
a_database,0.4332,24551427,AMIA Annu Symp Proc
other,0.6328,21347143,AMIA Jt Summits Transl Sci Proc
a_program,1,22779037,AMIA Jt Summits Transl Sci Proc
a_program,1,25954575,AMIA Jt Summits Transl Sci Proc
a_database,1,24303239,AMIA Jt Summits Transl Sci Proc
a_database,0.6616,24303318,AMIA Jt Summits Transl Sci Proc
other,0.7389,20386937,Amino Acids
other,1,21445589,Amino Acids
other,0.6818,21850437,Amino Acids
other,1,19669079,Amino Acids
other,0.4,24452754,Amino Acids
other,1,21695537,Amino Acids
other,0.7407,22851052,Amino Acids
a_program,1,18235992,Amino Acids
a_program,1,20811800,Amino Acids
a_program,1,17235453,Amino Acids
a_program,1,16773242,Amino Acids
a_program,0.6612,21698456,Amino Acids
a_program,0.6909,21993538,Amino Acids
a_program,0.7637,21993537,Amino Acids
a_program,0.6065,15838592,Amino Acids
a_program,0.6565,23494269,Amino Acids
a_program,1,21505826,Amino Acids
a_program,1,23108592,Amino Acids
a_program,0.604,20552381,Amino Acids
a_program,1,18163182,Amino Acids
a_program,1,21986959,Amino Acids
a_program,0.6774,20549269,Amino Acids
a_program,0.6712,19908123,Amino Acids
a_program,0.6798,24623121,Amino Acids
a_program,1,21400228,Amino Acids
a_program,0.6561,19820894,Amino Acids
a_program,0.5859,24370983,Amino Acids
a_program,1,18425404,Amino Acids
a_program,1,23568340,Amino Acids
a_program,0.6552,20127263,Amino Acids
a_program,1,20186553,Amino Acids
a_program,0.6499,24604165,Amino Acids
a_program,1,23456487,Amino Acids
a_database,1,20730460,Amino Acids
a_database,0.7205,21786137,Amino Acids
a_database,1,24385242,Amino Acids
other,1,21812627,Amyotroph Lateral Scler
a_program,1,20509746,Amyotroph Lateral Scler
a_database,1,21702733,Amyotroph Lateral Scler
a_database,1,18608099,Amyotroph Lateral Scler
a_database,0.6602,22533462,Amyotroph Lateral Scler
a_program,1,24863641,Amyotroph Lateral Scler Frontotemporal Degener
other,1,14753654,Amyotroph Lateral Scler Other Motor Neuron Disord
other,0.3895,21625797,An Acad Bras Cienc
a_program,1,22159349,An Acad Bras Cienc
other,1,15228933,An Pediatr (Barc)
other,1,16539920,An Pediatr (Barc)
a_database,0.7135,24857432,An Pediatr (Barc)
other,1,25464141,Anaerobe
other,1,21375086,Anaesth Intensive Care
other,1,24967766,Anaesth Intensive Care
other,1,21770906,Anaesthesia
a_database,1,25204235,Anaesthesia
other,1,18542893,Anaesthesist
other,1,21060981,Anaesthesist
other,1,24036518,Anaesthesist
other,1,23989920,Anaesthesist
a_database,0.658,15004690,Anaesthesist
other,0.7586,16501956,Anal Bioanal Chem
other,1,19862507,Anal Bioanal Chem
other,1,15614497,Anal Bioanal Chem
other,1,16041516,Anal Bioanal Chem
a_program,0.4087,17922113,Anal Bioanal Chem
other,0.66,25016190,Anal Biochem
other,0.6364,25449328,Anal Biochem
a_program,1,11112271,Anal Biochem
a_program,1,8660575,Anal Biochem
a_program,1,18639514,Anal Biochem
a_program,0.5949,22342883,Anal Biochem
a_program,1,22691961,Anal Biochem
a_program,1,24361712,Anal Biochem
a_program,1,21295004,Anal Biochem
a_program,0.6903,22459120,Anal Biochem
a_program,0.681,17976365,Anal Biochem
a_program,1,23395824,Anal Biochem
a_program,1,23756733,Anal Biochem
a_program,1,19651102,Anal Biochem
a_program,1,18249180,Anal Biochem
a_program,1,24732113,Anal Biochem
a_program,1,25596338,Anal Biochem
a_program,0.6867,9918650,Anal Biochem
a_program,0.687,21871865,Anal Biochem
a_program,1,19720040,Anal Biochem
a_program,1,24892985,Anal Biochem
other,1,14719871,Anal Chem
other,1,12498198,Anal Chem
other,1,14640709,Anal Chem
other,0.6705,17263323,Anal Chem
other,0.7017,19606840,Anal Chem
other,1,22519468,Anal Chem
other,1,24354303,Anal Chem
other,1,19203286,Anal Chem
other,1,25629585,Anal Chem
a_program,1,19413302,Anal Chem
a_program,1,17037911,Anal Chem
a_program,1,17550227,Anal Chem
a_program,0.6857,16408924,Anal Chem
a_program,1,16478117,Anal Chem
a_program,1,22530745,Anal Chem
a_program,1,18247484,Anal Chem
a_program,0.6514,23662787,Anal Chem
a_program,0.7351,16448051,Anal Chem
a_program,1,21049934,Anal Chem
