PMID,url,journal,pub_year,ia_last_seen
9016528,http://www.mcgill.ca/androgendb/,Nucleic Acids Res,1997,2012
9016529,http://nrr.georgetown.edu/nrr.html,Nucleic Acids Res,1997,#N/A
9016532,http://www.le.ac.uk/depts/ge/collagen/collagen.html,Nucleic Acids Res,1997,2013
9016534,http://info.med.yale.edu/mutbase/,Nucleic Acids Res,1997,2012
9016537,http://imgt.cnusc.fr:8104,Nucleic Acids Res,1997,2002
9016537,http://www.ebi.ac.uk/IMGT,Nucleic Acids Res,1997,2015
9016538,http://www.biochem.ucl.ac.uk/bsm/dbbrowser/CINEMA,Nucleic Acids Res,1997,#N/A
9016540,http://blocks.fhcrc.org/,Nucleic Acids Res,1997,#N/A
9016544,http://scop.mrc-lmb.cam.ac.uk/scop/,Nucleic Acids Res,1997,2016
9016545,http://www.abc.hu/blast.html,Nucleic Acids Res,1997,2012
9016545,http://www.icgeb.trieste.it/sbase/,Nucleic Acids Res,1997,2012
9016547,http://biochem.otago.ac.nz:800/Transterm/homepage.html,Nucleic Acids Res,1997,2002
9016552,http://www.ncbi.nlm.nih.gov/Baxevani/HISTONES/,Nucleic Acids Res,1997,2000
9021269,http://expasy.hcuge.ch/sprot/lalnview.html,Comput Appl Biosci,1996,2004
9021271,http://biomserv.univ-lyonl.fr/ADE-4.html,Comput Appl Biosci,1996,#N/A
9021271,http://biomserv.univ-lyonl.fr/NetMul.html,Comput Appl Biosci,1996,#N/A
9021275,http://acnuc.univ-lyon1.fr/,Comput Appl Biosci,1996,2000
9024576,http://www.icnet.uk/axp/hgr/eurogem/HTML/data.html,Ann Hum Genet,1996,#N/A
9031657,http://www.aacn.nche.edu,J Nurs Adm,1997,2016
9045213,http://www.informatics.jax.org,Nucleic Acids Res,1997,2016
9063628,http://www.hgmp.mrc.ac.uk/,DNA Seq,1996,2007
9070437,http://www.mrc-cpe.cam.uk/irbm-course95/,Protein Sci,1997,#N/A
9071972,http://www.cpa.gov/endocrine,J Endocrinol,1997,#N/A
9075118,http://www.teseo.it/nephrology/irrb,Nephrol Dial Transplant,1997,2003
9088705,http://dot.imgen.bcm.tmc.edu:9331/gene-finder/gf.html,Comput Appl Biosci,1997,2002
9090377,http://www.ncbi.nlm.nih.gov/XREFdb/,Nat Genet,1997,2006
9090944,http://www.anapath.necker.fr,Ann Pathol,1996,2009
9109388,http://icgeb.trieste.it/dna/curve_it.html/,FEBS Lett,1997,2011
9110166,http://www.uchsc.edu/CIS,Fam Med,1997,2010
9132271,http://gc.bcm.tmc.edu:8088/search-launcher/launcher.html,Genome Res,1995,1999
9135870,http://www.EpiMatrix.com/HIV,AIDS Res Hum Retroviruses,1997,2008
9146969,http://www-hto.usc.edu/software/sbh/index,Comput Appl Biosci,1997,#N/A
9149950,http://www.welch.jhu.edu<|>devine/RepDNAdb.html,Genome Res,1997,#N/A
9150918,http://www.expasy.ch/www/tools.html,Electrophoresis,1997,2016
9150925,http://www-lmmb.ncifcrf.gov/flicker,Electrophoresis,1997,2013
9150929,http://expasy.hcuge.ch/ch2d/aacompi.html,Electrophoresis,1997,2010
9150944,http://www.anl.gov/CMB/PMG/projects/index_hbreast.html,Electrophoresis,1997,2003
9150946,http://www.ludwig.edu.au/www/jpsl/jpslhome.html,Electrophoresis,1997,2015
9150955,http://epnwsl.ncifcrf.gov:2345/dis3d/dtp.html,Electrophoresis,1997,#N/A
9150955,http://www.nci.nih.gov/intra/lmp/jnwbio.htm,Electrophoresis,1997,2013
9169866,http://genome-www.stanford.edu/Saccharomyces/,Nature,1997,2016
9172353,http://www-hto.usc.edu/software/mglobal,Appl Environ Microbiol,1997,#N/A
9173384,http://www.oncol.hu,Orv Hetil,1997,2016
9178509,http://speedy.mips.biochem.mpg.de/,Yeast,1997,1999
9181300,http://nucleus.immunol.washington.edu/ISAC.html,Cytometry,1997,2002
9182802,http://www.cell.com,Neuron,1997,#N/A
9183524,http://bioc-www.uia.ac.be/u/yvdp/treeconw.html,Comput Appl Biosci,1997,2000
9183526,http://evolve.zoo.ox.ac.uk/Seq-Gen/seq-gen.html,Comput Appl Biosci,1997,2005
9183529,http://www.fundp.ac.be/sciences/biologie/bms/matchbox_submit.html,Comput Appl Biosci,1997,2016
9183532,http://www.dkfz-heidelberg.de/Macromol/ehrlich/chromatin.htm/,Comput Appl Biosci,1997,#N/A
9183533,http://ycmi.med.yale.edu/cyspid/,Comput Appl Biosci,1997,1999
9183536,http://evolve.zoo.ox.ac.uk/,Comput Appl Biosci,1997,2016
9189299,http://dfcm18.med.utoronto.ca/anthes/hpgdfcm1.htm,Can Fam Physician,1997,1999
9194178,http://theory.lcs.mit.edu/multicoil,Protein Sci,1997,2013
9195226,http://www.path.cam.ac.uk/emd,Hum Mutat,1997,2005
9197551,http://www-smi.stanford.edu/projects/helix/pubs/gene-combis-96/,Gene,1997,2006
9230782,http://som1.ab.umd.edu/Epidemiology/software.html,Am J Epidemiol,1997,1999
9246628,http://www.embl-heidelberg.de,J Protein Chem,1997,2016
9250350,http://www.gene.ucl.ac.uk/scw9db.shtml,Ann Hum Genet,1997,#N/A
9251789,http://femto.med.unc.edu/SIMS,Biophys J,1997,2004
9252112,http://www.imb-jena.de/PHYTO.html,Biochim Biophys Acta,1997,2005
9255264,http://wwwinfo.ncc.go.jp/jjco/,Jpn J Clin Oncol,1997,2002
9262023,http://ncmi.bioch.bcm.tmc.edu/pthuman,Ultramicroscopy,1997,#N/A
9278289,http://neon.chem.le.ac.uk/nmrcore/,Protein Eng,1997,2005
9284008,http://www.med.umich.edu/obgyn/vulva/vulvalit.html,J Reprod Med,1997,2007
9293723,http://ix.urz.uni-heidelberg.de/-d16,Methods Inf Med,1997,#N/A
9295054,http://www.gene.acl.ac.uk/nomenclature/guidelines.html,Pharmacogenetics,1997,#N/A
9302686,http://www.cgdn.generes.ca/,Mol Med Today,1997,2012
9307910,http://ric.uthscsa.edu/staff/charlesmartinphd.html,J Magn Reson Imaging,1997,2008
9314442,http://www.idsociety.org,Clin Infect Dis,1997,2016
9322034,http://www.fundp.ac.be/pub/ANOLEA.html,Proc Int Conf Intell Syst Mol Biol,1997,2014
9322042,http://www.expasy.ch,Proc Int Conf Intell Syst Mol Biol,1997,2016
9322049,http://igd.rz-berlin.mpg.de/www/oe/mbo.html,Proc Int Conf Intell Syst Mol Biol,1997,#N/A
9329089,http://igs-server.cnrs-mrs.fr,Proteins,1997,2014
9330910,http://www.kazusa.or.jp/arabi/,DNA Res,1997,2014
9331368,http://darwin.mbb.sfu.ca/imbb/dbaillie/cosmid.html,Genome Res,1997,2000
9342339,http://www.doe-mbi.ucla.edu/people/frsvr/,Proc Natl Acad Sci U S A,1997,2014
9348284,http://www.leeds.ac.uk/chb/muscle/myosinhead.html,J Cell Biol,1997,2005
9355370,http://medicine.aecom.yu.edu/diabetes/DEC.htm,Diabetes Educ,1997,2002
9357740,http://www.mwsearch.poly.edu,Proc AMIA Annu Fall Symp,1997,2002
9360862,http://www.ausp.memphis.edu/harl,Ear Hear,1997,2010
9379904,http://www.blacksci.co.uk/products/journals/molextra.htm,Mol Microbiol,1997,2006
9390233,http://www.techfak.uni-bielefeld.de/bcd/welcome.html,Pac Symp Biocomput,1996,2011
9393512,http://epi-center.ucsf.edu,Radiology,1997,2001
9393512,http://www.cdc.gov,Radiology,1997,2016
9395710,http://cpmcnet.columbia.edu/dept/rosenthal/,J Altern Complement Med,1997,2015
9399790,http://www.ncbi.nlm.nih.gov/,Nucleic Acids Res,1998,2016
9399791,http://www.ebi.ac.uk/embl,Nucleic Acids Res,1998,2016
9399792,http://mol.genes.nig.ac.jp/ecoli/,Nucleic Acids Res,1998,2001
9399792,http://www.ddbj.nig.ac.jp,Nucleic Acids Res,1998,2016
9399793,http://www.ncgr.org/gsdb,Nucleic Acids Res,1998,2001
9399794,http://www-nbrf.georgetown.edu/pir/,Nucleic Acids Res,1998,2005
9399797,http://susi.bio.uni-giessen.de/ecdc.html,Nucleic Acids Res,1998,2001
9399798,http://ecocyc.PangeaSystems.com/ecocyc/,Nucleic Acids Res,1998,2013
9399799,http://www.mbl.edu/html/ecoli.html,Nucleic Acids Res,1998,2012
9399803,http://www.proteome.com/YPDhome,Nucleic Acids Res,1998,#N/A
9399805,http://genome-www.stanford.edu/,Nucleic Acids Res,1998,2016
9399806,http://flybase.bio.indiana.edu/,Nucleic Acids Res,1998,2016
9399807,http://gifts.univ-mrs.fr/GIFTS_home_page.html,Nucleic Acids Res,1998,2000
9399808,http://www.gdb.org,Nucleic Acids Res,1998,2016
9399809,http://www.infobiogen.fr/services/virgil/home,Nucleic Acids Res,1998,#N/A
9399810,http://www.ebi.ac.uk/RHdb/RHdb.html,Nucleic Acids Res,1998,#N/A
9399811,http://babbage.infobiogen.fr:15000/Mappet/Show,Nucleic Acids Res,1998,#N/A
9399811,http://www.infobiogen.fr/services/Hugemap,Nucleic Acids Res,1998,2006
9399812,http://ixdb.mpimg-berlin-dahlem.mpg.de,Nucleic Acids Res,1998,2010
9399813,http://www.gen.emory.edu/MITOMAP,Nucleic Acids Res,1998,2002
9399814,http://www.ebi.ac.uk/htbin/Mitbase/mitbase.pl,Nucleic Acids Res,1998,2012
9399815,http://WWW.ba.cnr.it/<|>areamt08/MmtDBWWW.htm,Nucleic Acids Res,1998,2011
9399816,http://www.zi.biologie.uni-muenchen.de/<|>meyers/mtdna.html,Nucleic Acids Res,1998,#N/A
9399818,http://megasun.bch.umontreal.ca/gobase/gobase.html,Nucleic Acids Res,1998,2014
9399819,http://www.biotech.ist.unige.it/interlab/mpdb.html,Nucleic Acids Res,1998,2009
9399820,http://www.uni-bayreuth.de/departments/biochemie/trna/,Nucleic Acids Res,1998,2010
9399821,http://www.ebi.ac.uk/service,Nucleic Acids Res,1998,#N/A
9399822,http://www.chemie.fu-berlin.de/fb_chemie/agerdmann/5S_rRNA.html,Nucleic Acids Res,1998,2005
9399822,http://rose.man.poznan.pl/5SData/5SRNA.html,Nucleic Acids Res,1998,2005
9399823,http://mbcr.bcm.tmc.edu/smallRNA/smallrna.html,Nucleic Acids Res,1998,2005
9399824,http://www.wi.mit.edu/bartel/tmRNA/home,Nucleic Acids Res,1998,2002
9399825,http://www.uthct.edu/tmRDB/tmRDB.html,Nucleic Acids Res,1998,2004
9399826,http://www.biochem.mpg.de/goeringe/,Nucleic Acids Res,1998,#N/A
9399827,http://www.lifesci.ucla.edu/RNA/trypanosome/database.html,Nucleic Acids Res,1998,2011
9399828,http://pegasus.uthct.edu/SRPDB/SRPDB,Nucleic Acids Res,1998,#N/A
9399831,http://Ribosome.Genebee.MSU.SU/DRC/,Nucleic Acids Res,1998,2006
9399831,http://WWW:MPIMG-Berlin-Dahlem.MPG.DE/<|>baranov/DRC/,Nucleic Acids Res,1998,#N/A
9399832,http://www.callisto.si.usherb.ca/<|>jpperra,Nucleic Acids Res,1998,2006
9399833,http://bio-www.ba.cnr.it:8000/srs5/,Nucleic Acids Res,1998,2001
9399834,http://www-medlib.med.utah/RNAmods/RNAmods.html,Nucleic Acids Res,1998,#N/A
9399835,http://sunsite.unc.edu/dnam/mainpage,Nucleic Acids Res,1998,2014
9399836,http://perso.curie.fr/tsoussi,Nucleic Acids Res,1998,2007
9399837,http://www.iarc.fr/p53/homepage.htm,Nucleic Acids Res,1998,2010
9399837,http://www.ebi.ac.uk,Nucleic Acids Res,1998,2016
9399838,http://www.lf2.cuni.cz,Nucleic Acids Res,1998,2016
9399841,http://www.ensam.inra.fr/cholinesterase,Nucleic Acids Res,1998,2009
9399842,http://www.umd.necker.fr,Nucleic Acids Res,1998,2009
9399844,http://www.helsinki.fi/science/signal/btkbase.html,Nucleic Acids Res,1998,2011
9399848,http://www.hgu.mrc.ac.uk/Softdata/PAX6/,Nucleic Acids Res,1998,2012
9399849,http://www.umds.ac.uk/molgen/haemBdatabase.htm,Nucleic Acids Res,1998,2012
9399852,http://www.gpcr.org/7tm,Nucleic Acids Res,1998,2016
9399853,http://www.fandm.edu/Departments/Biology/Databases/RNA.html,Nucleic Acids Res,1998,2015
9399854,http://uwcm.ac.uk/uwcm/mg/hgmd0.html,Nucleic Acids Res,1998,2013
9399855,http://cbil.humgen.upenn.edu/epodb/,Nucleic Acids Res,1998,1999
9399857,http://www.geocities.com/CapeCanaveral/Hangar/2541/,Nucleic Acids Res,1998,2009
9399858,http://www.pitt.edu/pipaslab/,Nucleic Acids Res,1998,#N/A
9399861,http://www.blocks.fhcrc.org,Nucleic Acids Res,1998,2016
9399862,http://www.sander.embl-ebi.ac.uk/hssp/,Nucleic Acids Res,1998,1998
9399863,http://www.embl-ebi.ac.uk/dali,Nucleic Acids Res,1998,2012
9399864,http://genome.wustl.edu/Pfam/,Nucleic Acids Res,1998,2015
9399864,http://www.sanger.ac.uk/Pfam/,Nucleic Acids Res,1998,2016
9399865,http://protein.toulouse.inra.fr/prodom.html,Nucleic Acids Res,1998,2007
9399865,http://www.expasy.ch/swissmod/SWISS-MODEL.html,Nucleic Acids Res,1998,2016
9399866,http://www.protein.bio.msu.su/issd/,Nucleic Acids Res,1998,2005
9399867,http://www.expasy.ch/ch2d/ch2d-top.html,Nucleic Acids Res,1998,2015
9399868,http://www.dna.affrc.go.jp/,Nucleic Acids Res,1998,2016
9399871,http://www.mbio.ncsu.edu/RNaseP/home.html,Nucleic Acids Res,1998,2015
9399872,http://cmpteam4.unil.ch,Nucleic Acids Res,1998,2008
9399873,http://www.dna.affrc.go.jp/htdocs/PLACE/,Nucleic Acids Res,1998,2016
9399874,http://www.isbi.net/,Nucleic Acids Res,1998,2016
9399875,http://www.bionet.nsc.ru/TRRD,Nucleic Acids Res,1998,2015
9399875,http://transfac.gbf.de/TRANSFAC,Nucleic Acids Res,1998,2003
9399876,http://wehih.wehi.edu.au/mhcpep/,Nucleic Acids Res,1998,2016
9399877,http://www.nhgri.nih.gov/DIR/GTB/HISTONES,Nucleic Acids Res,1998,2006
9399878,http://bioinf.leeds.ac.uk/promise/,Nucleic Acids Res,1998,2007
9399879,http://www.cbs.dtu.dk/databases/PhosphoBase/,Nucleic Acids Res,1998,2015
9399880,http://www.cbs.dtu.dk/databases/OGLYCBASE/,Nucleic Acids Res,1998,2015
9400577,http://www.AMA-Assn.Org/Adolhlth/Adolhlth.htm,Pediatr Clin North Am,1997,2012
9404428,http://merece.uthscsa.edu/htncrg,Arch Mal Coeur Vaiss,1997,1997
9407141,http://www.biobase.com/EMP,Nucleic Acids Res,1998,2005
9407141,http://www.mcs.anl.gov/home/compbio/PUMA/Production/ReconstructedMetabolism/reconstruction.html,Nucleic Acids Res,1998,2012
9407141,http://www.mcs.anl.gov/home/compbio/WIT/wit.html,Nucleic Acids Res,1998,2010
9407141,http://www.biobase.com/emphome.html/homepage.html.pags/pathways.html,Nucleic Acids Res,1998,#N/A
9408433,http://www.brown.edu@Administration@emergency_Medicine@curr.html,Acad Emerg Med,1997,#N/A
9411524,http://mbox.unipa.it<|>radpa/radpa.html,Radiol Med,1997,#N/A
9414320,http://www.resgen.com/,Genome Res,1997,2016
9416612,http://neon.chem.le.ac.uk/olderado/,Protein Sci,1997,2005
9421660,http://biomed.tamu.edu/-lw,Comput Methods Programs Biomed,1997,#N/A
9435137,http://www.kazusa.or.jp/cyano/,Plant Cell Physiol,1997,2015
9437554,http://www.derm.ubc.ca,Comput Biol Med,1997,2016
9437873,http://www.ucl.ac.uk/chem/resources/raman/speclib.html,Spectrochim Acta A Mol Biomol Spectrosc,1997,#N/A
9440819,http://www.biochem.mpg.de/valet/leukaem1.html,Cytometry,1997,2006
9445486,http://klab.agsci.colostate.edu,Genome Res,1998,2006
9445487,http://www.genome.org,Genome Res,1998,2016
9451585,http://www.musc.edu/chp-rehab/anatomy/kneedemo.htm,J Allied Health,1997,2001
9460116,http://www.pedrad.org,Radiographics,1998,2016
9461386,http://www.ba.cnr.it/dloop.html,Gene,1997,#N/A
9463320,http://www3.ncbi.nlm.nih.gov:80/htbin-post/Omim/dispmim?600310,Am J Hum Genet,1998,#N/A
9463328,http://www3.ncbi.nlm.nih.gov:80/htbin-post/Omim/dispmim?239100,Am J Hum Genet,1998,#N/A
9463337,http://www3.ncbi.nlm.nih.gov:80/htbin-post/Omim/dispmim?246450,Am J Hum Genet,1998,#N/A
9463946,http://pharm6.pharm.nottingham.ac.uk/processing/main,Analyst,1997,#N/A
9465417,http://www.bio.cornell.edu/genetics/aquadro/aquadro.html,Mol Ecol,1998,2005
9471621,http://nrr.georgetown.edu/nrr/nrr.html,Nucleic Acids Res,1998,2013
9475985,http://www.cbs.dtu.dk/gorodkin/appl/slogo,Comput Appl Biosci,1997,#N/A
9475986,http://www.grad.ttuhsc.edu/archive/,Comput Appl Biosci,1997,2001
9475988,http://protein.toulouse.inra.fr/prodom.html,Comput Appl Biosci,1997,2007
9475989,http://www.irisa.fr/SAMBA/,Comput Appl Biosci,1997,2015
9475991,http://www.bork.embl-heidelberg.de/alerting/,Comput Appl Biosci,1997,#N/A
9475993,http://www.ri.bbsrc.ac.uk/,Comput Appl Biosci,1997,2007
9475994,http://bibiserv.TechFak.Uni-Bielefeld.DE/dca/,Comput Appl Biosci,1997,2015
9476153,http://www.uni-leipzig.de/-diabetes,Int J Med Inform,1997,#N/A
9476154,http://www.med.univ-rennesl.fr,Int J Med Inform,1997,#N/A
9482830,http://www.inverizon.com/ncgi,Proc Natl Acad Sci U S A,1998,2002
9483158,http://www.liv.ac.uk/sdthomps/page1.html,Health Technol Assess,1997,#N/A
9495577,http://inet.uni-c.dk/,Clin Chim Acta,1997,2001
9504808,http://www-lecb.ncifcrf.gov/flicker/,Electrophoresis,1997,2013
9504808,http://www-lecb.ncifcrf.gov/2dwgDB/,Electrophoresis,1997,2013
9504809,http://bioinfo.weizmann.ac.il/,Electrophoresis,1997,#N/A
9504812,http://www.harefield.nthames.nhs.uk/nhli/protein/index.html,Electrophoresis,1997,2004
9504816,http://www.mdc-berlin.de/emu/heart/,Electrophoresis,1997,#N/A
9506387,http://www.hon.ch/cgi-bin/2DHunt/find,Int J Med Inform,1997,2014
9506387,http://www.hon.ch/cgi-bin/find,Int J Med Inform,1997,#N/A
9506393,http://www.swun.com/hepax,Int J Med Inform,1997,#N/A
9512532,http://blocks.fhcrc.org/codehop.html,Nucleic Acids Res,1998,#N/A
9514112,http://www.cbs.dtu.dk/services/CPHmodels/,Protein Eng,1997,2016
9519165,http://www.caritas.ab.ca<|>palliate,Palliat Med,1997,#N/A
9519165,http://www.palliative.org,Palliat Med,1997,2016
9521923,http://www.genome.washington.edu/consed/consed,Genome Res,1998,#N/A
9521927,http://www.cbil.upenn.edu/gaia,Genome Res,1998,1999
9521930,http://EbEST.ifrc.mcw.edu,Genome Res,1998,2001
9521934,http://www.cshl.org/kaleidaseq,Genome Res,1998,2008
9527306,http://www.shc.uiowa.edu/papers/tensor/,Cleft Palate Craniofac J,1998,2009
9532843,http://www.epm.br/cochrane,Sao Paulo Med J,1997,2007
9539450,http://www.rni.helsinki.fi/mjs,Genetics,1998,#N/A
9541196,http://honeybee.helsinki.fi/toothexp,Eur J Oral Sci,1998,2012
9545441,http://www.ai.eecs.uic.edu/̱elson,Bioinformatics,1998,#N/A
9545441,http://www.ai.eecs.uic.edu,Bioinformatics,1998,2016
9545442,http://www.ri.bbsrc.ac.uk/ark_corba/,Bioinformatics,1998,2000
9545445,http://www.cs.cf.ac.uk/ec/,Bioinformatics,1998,2004
9545446,http://www.mrc-lmb.cam.ac.uk/genomes/,Bioinformatics,1998,2015
9545448,http://bibiserv.TechFak.Uni-Bielefeld.DE/rose/,Bioinformatics,1998,2015
9545449,http://www.embl-heidelberg.de/srs5/,Bioinformatics,1998,2015
9545449,http://srs.ebi.ac.uk:5000/,Bioinformatics,1998,1999
9545449,http://www.infobiogen.fr/srs5/,Bioinformatics,1998,2000
9545451,http://www.rtc.riken.go.jp/3DinSight.html,Bioinformatics,1998,2005
9545453,http://www.lmcp.jussieu.fr/,Bioinformatics,1998,2012
9545456,http://www.bioss.sari.ac.uk/grainne,Bioinformatics,1998,#N/A
9545458,http://diana.uthct.edu,Bioinformatics,1998,2000
9545460,http://www.ebi.ac.uk/biocat/biocat.html,Bioinformatics,1998,2013
9547898,http://www.leeds.ac.uk/acb/annals,Ann Clin Biochem,1998,2005
9548300,http://www.anl.gov/CMB/PMG,Electrophoresis,1998,2003
9548301,http://www.tmig.or.jp/2D/,Electrophoresis,1998,2004
9550953,http://www.bmj.com,BMJ,1998,2016
9554536,http://www.utoronto.ca/jcb,Cancer,1998,2016
9557871,http://www.cbs.dtu.dk/services/NetOGlyc/,Glycoconj J,1998,2016
9563201,http://www.dis.strath.ac.uk/vie/LymeEU/,Zentralbl Bakteriol,1998,2015
9565337,http://inet.uni-c.dk/home/ifcc_iupac_cnpu,Clin Chim Acta,1998,#N/A
