"journal","all","db","program","other"
"J Immunol Methods",8,1,7,0
"Mutagenesis",1,1,0,0
"Proteins",41,6,33,2
"Mol Imaging Biol",1,1,0,0
"J R Soc Interface",8,1,6,1
"J Theor Biol",22,1,19,2
"Scand J Public Health",1,0,0,1
"Immunogenetics",8,1,6,1
"Oral Oncol",1,1,0,0
"Bioinformatics",1696,129,1453,114
"Am J Transplant",4,0,0,4
"Vaccine",6,1,1,4
"Genes Chromosomes Cancer",1,0,1,0
"Stem Cells Dev",1,0,1,0
"Autoimmun Rev",2,0,2,0
"Biotechnol Bioeng",4,1,2,1
"Arch Dis Child",1,0,0,1
"Comput Biol Med",20,4,14,2
"BJU Int",4,2,1,1
"Soc Sci Med",2,0,0,2
"Emerg Med J",2,0,0,2
"Virus Res",1,1,0,0
"Curr Microbiol",1,0,0,1
"Protein Sci",9,3,6,0
"Plant J",9,2,5,2
"Cytokine",1,1,0,0
"Biostatistics",2,0,2,0
"Genome Biol Evol",10,1,8,1
"Circ J",1,0,1,0
"J Chem Inf Model",59,13,37,9
"Antioxid Redox Signal",1,0,1,0
"Appl Environ Microbiol",5,1,4,0
"J Neurosci Methods",5,0,5,0
"J Comput Chem",35,0,32,3
"J Healthc Qual",1,0,0,1
"Clin Infect Dis",2,0,1,1
"Math Biosci",1,0,1,0
"Anal Chem",27,4,20,3
"Am J Physiol Renal Physiol",3,1,1,1
"Mol Biol Evol",32,4,23,5
"Semin Nucl Med",2,0,0,2
"Plant Cell Physiol",25,19,5,1
"Blood",8,0,0,8
"Curr Med Res Opin",3,0,0,3
"Burns",2,0,0,2
"Epilepsy Behav",3,0,0,3
"ISME J",2,0,2,0
"Genetics",14,0,12,2
"Clin Transplant",1,0,0,1
"Int J Syst Evol Microbiol",4,2,1,1
"Int J Parasitol",2,1,0,1
"Genet Epidemiol",8,0,7,1
"Acta Oncol",1,1,0,0
"Neuroimage",20,0,12,8
"Toxicon",4,1,2,1
"Radiat Prot Dosimetry",3,1,1,1
"Glycobiology",2,0,2,0
"Arch Virol",3,1,2,0
"J Biomol NMR",11,1,9,1
"Mol Biotechnol",1,0,1,0
"Adv Exp Med Biol",9,2,4,3
"Toxicol Sci",2,1,0,1
"J Clin Microbiol",13,1,5,7
"Zebrafish",3,3,0,0
"Pac Symp Biocomput",11,1,5,5
"Eur J Pharm Sci",2,0,0,2
"Br J Ophthalmol",2,0,0,2
"Protein Cell",4,1,3,0
"Hear Res",2,0,2,0
"Photosynth Res",9,0,0,9
"Chem Res Toxicol",3,0,2,1
"Reprod Toxicol",1,1,0,0
"Nat Methods",30,3,25,2
"J Asthma",2,0,0,2
"Biosens Bioelectron",1,0,1,0
"Int J Hyg Environ Health",1,0,0,1
"Tuberculosis (Edinb)",2,1,1,0
"Mol Genet Metab",3,1,0,2
"Biosystems",7,0,6,1
"Proteomics Clin Appl",1,0,0,1
"BMC Bioinformatics",478,33,403,42
"Phys Med Biol",5,1,3,1
"Am J Drug Alcohol Abuse",2,0,0,2
"Chem Cent J",2,0,2,0
"J Chromatogr A",5,0,5,0
"Syst Biol",7,0,7,0
"J Proteome Res",43,13,23,7
"Clin Toxicol (Phila)",1,0,0,1
"BMC Public Health",8,0,4,4
"Explore (NY)",1,0,0,1
"Genomics",23,7,16,0
"Fungal Genet Biol",2,0,2,0
"Proteome Sci",7,1,4,2
"J Clin Oncol",2,0,1,1
"Surgeon",1,0,0,1
"PLoS One",603,78,430,95
"PLoS Comput Biol",63,3,51,9
"BMC Res Notes",64,11,46,7
"Health Place",1,0,0,1
"Philos Ethics Humanit Med",1,0,0,1
"J Pediatr Surg",2,0,0,2
"Neuroscience",1,0,0,1
"J Struct Biol",7,0,6,1
"Invest Ophthalmol Vis Sci",7,0,2,5
"Database (Oxford)",249,198,41,10
"Breast Cancer Res",2,0,0,2
"Int J Med Sci",1,1,0,0
"PLoS Negl Trop Dis",5,2,1,2
"Protein Eng Des Sel",9,1,6,2
"Aesthetic Plast Surg",2,0,0,2
"BMC Genomics",200,50,118,32
"Int J Med Inform",3,0,1,2
"Comput Methods Programs Biomed",17,2,15,0
"Int J Audiol",1,0,0,1
"Aquat Toxicol",2,1,0,1
"Ann Occup Hyg",1,0,1,0
"Schizophr Bull",1,0,0,1
"Evol Bioinform Online",18,4,12,2
"J Struct Funct Genomics",4,0,4,0
"Pediatr Emerg Care",1,0,1,0
"IEEE Trans Pattern Anal Mach Intell",2,0,2,0
"Endocr Relat Cancer",1,0,1,0
"RNA",16,3,10,3
"BMB Rep",4,2,2,0
"J Biomech",3,0,2,1
"Expert Opin Investig Drugs",1,0,1,0
"BMC Health Serv Res",3,0,2,1
"Prog Urol",2,0,1,1
"Vet Clin North Am Small Anim Pract",1,0,0,1
"Comput Biol Chem",14,3,10,1
"Oncotarget",1,0,0,1
"Br J Pharmacol",2,1,1,0
"J Laryngol Otol",1,0,0,1
"BMC Syst Biol",66,8,53,5
"Zhongguo Dang Dai Er Ke Za Zhi",1,0,0,1
"Proteomics",31,2,24,5
"PLoS Genet",8,3,4,1
"Clin Exp Pharmacol Physiol",1,0,1,0
"Investig Genet",3,1,0,2
"Genome Med",15,1,11,3
"Blood Cells Mol Dis",1,1,0,0
"Genome Biol",43,2,38,3
"Histopathology",1,0,1,0
"BMC Ear Nose Throat Disord",1,0,0,1
"BioData Min",6,1,3,2
"J Nerv Ment Dis",1,0,0,1
"Opt Lett",2,0,1,1
"Autophagy",2,1,1,0
"Eur J Appl Physiol",1,0,0,1
"Plant Methods",9,1,7,1
"Biochem Biophys Res Commun",8,2,4,2
"J Ethnopharmacol",4,1,0,3
"BMJ Open",16,1,3,12
"Stroke",8,0,3,5
"Biochim Biophys Acta",13,0,9,4
"Mol Biol Rep",3,2,0,1
"IEEE Trans Image Process",4,0,4,0
"Clin Pharmacokinet",1,0,1,0
"Work",1,0,0,1
"Integr Biol (Camb)",3,0,2,1
"IEEE Trans Biomed Eng",3,0,2,1
"Int J Antimicrob Agents",1,0,1,0
"Curr Opin Obstet Gynecol",1,0,0,1
"J Vis Exp",14,2,5,7
"Source Code Biol Med",25,3,22,0
"Dtsch Arztebl Int",3,1,0,2
"RNA Biol",7,2,3,2
"J Hum Genet",4,2,2,0
"Acta Crystallogr A",2,0,1,1
"Vet Ophthalmol",1,1,0,0
"J Allergy Clin Immunol",4,0,0,4
"Clin Res Hepatol Gastroenterol",1,1,0,0
"J Am Coll Surg",1,0,1,0
"Anal Biochem",12,0,10,2
"Infect Genet Evol",12,4,4,4
"J Neurosci Res",1,1,0,0
"Eur J Cardiothorac Surg",2,0,0,2
"Int J Epidemiol",27,5,0,22
"Plant Physiol",9,1,7,1
"J Digit Imaging",4,0,3,1
"Theor Appl Genet",5,1,2,2
"Rev Environ Contam Toxicol",1,0,0,1
"Clin Cancer Res",2,1,0,1
"Biochimie",5,0,3,2
"Br J Cancer",4,0,4,0
"Carbohydr Res",2,2,0,0
"Stud Health Technol Inform",22,6,6,10
"Bioinformation",99,50,43,6
"Vet Radiol Ultrasound",1,0,1,0
"Evodevo",1,0,0,1
"Neurol Clin",1,0,0,1
"J Gastrointest Surg",2,0,1,1
"Mol Biosyst",14,1,12,1
"Cytojournal",1,0,0,1
"Biologicals",1,0,0,1
"J Clin Psychopharmacol",1,1,0,0
"BMC Biol",6,1,2,3
"BMC Med Inform Decis Mak",13,2,4,7
"Psychiatr Clin North Am",1,0,0,1
"Genet Mol Res",4,1,3,0
"Environ Manage",1,0,1,0
"Am J Hum Biol",1,1,0,0
"Am J Nurs",6,0,1,5
"Neural Netw",1,0,0,1
"Clin Transl Sci",1,0,0,1
"Clin Pharmacol Ther",4,1,0,3
"Arq Bras Cardiol",1,0,0,1
"Rev Sci Instrum",5,0,1,4
"Dan Med J",2,0,0,2
"Exp Parasitol",1,1,0,0
"MAGMA",2,0,0,2
"Diabetologia",2,0,0,2
"Adv Physiol Educ",1,0,0,1
"Am J Respir Cell Mol Biol",1,1,0,0
"OMICS",20,5,12,3
"BMC Genet",8,1,6,1
"Curr Protoc Bioinformatics",2,0,2,0
"BMC Neurol",3,1,0,2
"Forensic Sci Int Genet",2,0,2,0
"Neurol Sci",1,0,1,0
"Anesth Analg",3,0,2,1
"Ann Surg Oncol",2,0,0,2
"J Virol",2,1,0,1
"Appl Microbiol Biotechnol",2,0,0,2
"Anticancer Res",1,0,1,0
"J Cheminform",27,6,21,0
"Cortex",2,0,1,1
"Hum Pathol",1,0,0,1
"Genome Res",5,1,3,1
"Tunis Med",1,1,0,0
"Zhong Xi Yi Jie He Xue Bao",1,0,0,1
"Circulation",3,0,0,3
"Mol Cytogenet",1,0,0,1
"J Clin Bioinforma",5,1,3,1
"Epigenetics",4,1,1,2
"Neurobiol Aging",1,0,1,0
"Cochrane Database Syst Rev",24,4,1,19
"Health Phys",3,2,1,0
"Diagn Pathol",3,0,0,3
"J Infect Dev Ctries",2,1,0,1
"Eur J Obstet Gynecol Reprod Biol",6,1,1,4
"J Neurol Sci",2,0,0,2
"Contemp Clin Trials",1,0,1,0
"J Comput Aided Mol Des",11,1,10,0
"Sci Rep",27,8,15,4
"Neoplasia",1,0,0,1
"J Dtsch Dermatol Ges",2,0,1,1
"Am J Manag Care",1,0,0,1
"Animal",2,0,0,2
"BMC Urol",1,0,0,1
"Ochsner J",1,0,1,0
"J Am Soc Nephrol",2,1,0,1
"Int J Speech Lang Pathol",3,0,1,2
"Radiother Oncol",2,0,0,2
"Environ Toxicol Chem",2,1,1,0
"Health Promot Pract",1,0,0,1
"Proc Natl Acad Sci U S A",6,2,4,0
"Front Neuroinform",19,3,12,4
"Aliment Pharmacol Ther",5,0,4,1
"Cell Transplant",2,0,0,2
"Genomics Proteomics Bioinformatics",22,5,14,3
"State Legis",1,0,0,1
"Mol Cells",5,1,3,1
"Biophys J",6,1,5,0
"Transplantation",4,0,0,4
"BMC Cancer",7,0,2,5
"Schizophr Res",2,0,0,2
"Clin Oral Investig",1,0,1,0
"Pediatr Crit Care Med",1,0,0,1
"Environ Microbiol",3,1,0,2
"Rural Remote Health",1,0,1,0
"J Biomed Semantics",57,24,24,9
"Mol Biochem Parasitol",3,0,1,2
"Gene",26,4,14,8
"Int J Geriatr Psychiatry",1,0,1,0
"Rhinology",1,0,0,1
"J Opioid Manag",1,0,1,0
"Front Zool",1,0,1,0
"Arch Pediatr",2,0,0,2
"Genet Mol Biol",1,1,0,0
"Ocul Surf",1,0,0,1
"J Biomech Eng",2,0,2,0
"Am J Med",10,1,0,9
"Med Arh",1,0,1,0
"Contact Dermatitis",2,0,0,2
"BMC Microbiol",6,3,2,1
"J Integr Plant Biol",1,1,0,0
"Stat Appl Genet Mol Biol",4,0,3,1
"Bratisl Lek Listy",1,0,0,1
"Int J Eat Disord",1,1,0,0
"Ergonomics",1,0,0,1
"Cell Rep",5,3,1,1
"Biol Direct",7,0,6,1
"Nutr Clin Pract",1,0,0,1
"J Agric Food Chem",1,1,0,0
"Rev Port Cardiol",1,0,1,0
"Anim Sci J",1,0,1,0
"Neurourol Urodyn",1,0,0,1
"Genet Sel Evol",1,0,1,0
"Age Ageing",3,0,1,2
"J Adolesc Health",1,0,1,0
"J Med Internet Res",9,0,1,8
"Chromosoma",1,1,0,0
"Sci China Life Sci",2,0,0,2
"Circ Heart Fail",2,0,1,1
"Electrophoresis",4,1,3,0
"Front Neural Circuits",1,0,1,0
"Front Genet",19,6,13,0
"MAbs",2,0,0,2
"Rejuvenation Res",4,4,0,0
"Amyotroph Lateral Scler",1,1,0,0
"Int J Immunogenet",2,0,1,1
"Otolaryngol Head Neck Surg",3,1,0,2
"FEBS J",12,7,2,3
"J Microbiol",2,0,2,0
"G3 (Bethesda)",17,3,8,6
"Patient Educ Couns",2,0,0,2
"Fertil Steril",5,0,1,4
"Rev Esp Anestesiol Reanim",2,0,0,2
"Int J Gynecol Cancer",2,0,1,1
"Hautarzt",3,0,2,1
"Hum Mol Genet",2,0,1,1
"Immunol Res",1,0,1,0
"J Biomol Struct Dyn",12,2,8,2
"Antimicrob Agents Chemother",3,2,0,1
"Med Oral Patol Oral Cir Bucal",1,0,0,1
"Subst Abuse Treat Prev Policy",1,0,0,1
"Algorithms Mol Biol",28,1,25,2
"Am J Clin Nutr",3,0,1,2
"J Inherit Metab Dis",2,0,0,2
"Bioinform Biol Insights",4,2,1,1
"BMC Biotechnol",1,0,1,0
"Metabolism",1,0,1,0
"ACS Synth Biol",8,1,7,0
"Brain Connect",3,1,2,0
"Reprod Biomed Online",2,0,0,2
"J Biomed Inform",18,2,14,2
"Nutr Hosp",3,0,0,3
"Am J Med Genet B Neuropsychiatr Genet",1,0,0,1
"Mol Pharm",1,0,1,0
"Zookeys",28,13,4,11
"Pigment Cell Melanoma Res",1,0,0,1
"Gastroenterol Hepatol",1,0,0,1
"Rev Esp Geriatr Gerontol",1,0,0,1
"Structure",3,1,1,1
"J Microbiol Biotechnol",2,1,0,1
"Radiographics",2,0,1,1
"J Bacteriol",3,1,1,1
"BMC Biophys",1,0,1,0
"J Hum Lact",1,0,1,0
"Microb Inform Exp",2,0,2,0
"Cancer Discov",1,1,0,0
"Chem Biodivers",3,2,0,1
"Artif Organs",1,0,0,1
"Mol Cell Probes",1,0,1,0
"Cardiovasc Ultrasound",1,0,0,1
"J Hered",5,1,4,0
"NCHS Data Brief",1,0,0,1
"Semin Arthritis Rheum",5,0,0,5
"Cancer Inform",10,1,6,3
"Med Biol Eng Comput",3,0,3,0
"Am J Med Genet A",4,2,0,2
"Lupus",1,0,0,1
"Front Plant Sci",15,9,4,2
"Mol Phylogenet Evol",3,0,2,1
"Mol Biol (Mosk)",4,3,1,0
"Am J Bot",2,1,0,1
"J Neurol Neurosurg Psychiatry",2,0,2,0
"Med Teach",3,0,1,2
"Cancer J",1,0,0,1
"Gastroenterol Nurs",1,0,0,1
"PhytoKeys",7,7,0,0
"Telemed J E Health",5,0,2,3
"BMC Med",7,0,0,7
"Front Biosci (Elite Ed)",1,0,0,1
"Fungal Biol",1,0,0,1
"Int J Cardiol",4,0,0,4
"Eur Urol",2,0,0,2
"Clin Biochem",1,0,1,0
"Cancer Epidemiol Biomarkers Prev",2,0,1,1
"Ann Intern Med",5,0,1,4
"Adv Neonatal Care",1,0,0,1
"S Afr Med J",2,0,0,2
"Eur J Hum Genet",9,3,4,2
"J Eur Acad Dermatol Venereol",1,0,0,1
"BMC Gastroenterol",1,0,1,0
"BMC Plant Biol",19,12,4,3
"Internist (Berl)",1,0,0,1
"Autism Res",1,0,1,0
"Front Physiol",6,0,6,0
"Acc Chem Res",1,0,1,0
"J Surg Educ",4,0,0,4
"J Med Entomol",2,0,0,2
"Immunology",2,1,0,1
"Microb Biotechnol",1,0,0,1
"N Biotechnol",2,0,2,0
"J Am Med Dir Assoc",1,0,0,1
"Front Pharmacol",2,1,0,1
"J Pharmacol Exp Ther",1,0,1,0
"J Biomol Screen",3,1,2,0
"J Gen Virol",1,0,1,0
"J Orthop Sci",1,0,0,1
"Growth Horm IGF Res",1,1,0,0
"J Oral Maxillofac Surg",2,0,0,2
"Bioengineered",2,0,2,0
"Int J Radiat Biol",1,0,0,1
"Psychol Health Med",1,0,1,0
"Parasit Vectors",4,1,3,0
"Int Wound J",2,0,1,1
"J Med Chem",6,2,3,1
"J Biol Eng",2,0,1,1
"J Med Genet",5,0,5,0
"Drug Metabol Drug Interact",1,0,0,1
"Clinicoecon Outcomes Res",1,0,0,1
"Nurs Stand",3,0,1,2
"Placenta",2,0,0,2
"Int J Data Min Bioinform",6,2,4,0
"Ann Allergy Asthma Immunol",1,0,0,1
"Clin Podiatr Med Surg",1,0,0,1
"Presse Med",3,0,0,3
"Mol Endocrinol",4,2,1,1
"Herz",3,0,0,3
"Fed Regist",1,0,0,1
"Bioorg Med Chem Lett",1,0,1,0
"Tex Heart Inst J",1,0,0,1
"Ticks Tick Borne Dis",2,0,1,1
"J Neurosci",2,1,1,0
"BMC Palliat Care",1,1,0,0
"Trials",12,0,3,9
"Med Oncol",3,2,0,1
"Pediatr Blood Cancer",1,0,0,1
"J Biomol Tech",3,0,2,1
"Ann Ig",3,0,0,3
"Environ Health",2,0,2,0
"BMC Musculoskelet Disord",3,0,0,3
"J Pain Palliat Care Pharmacother",5,0,0,5
"Biochemistry",1,1,0,0
"Surgery",3,0,0,3
"J Biotechnol",6,0,6,0
"Environ Sci Pollut Res Int",7,1,1,5
"Methods Inf Med",3,0,2,1
"Orphanet J Rare Dis",3,1,1,1
"Toxicol Int",1,0,1,0
"Sensors (Basel)",4,0,2,2
"Toxins (Basel)",2,2,0,0
"AMIA Jt Summits Transl Sci Proc",4,2,2,0
"Med Chem",1,0,1,0
"G Ital Cardiol (Rome)",1,0,0,1
"J Antimicrob Chemother",4,0,2,2
"Front Comput Neurosci",3,0,0,3
"Clin Lab",1,0,1,0
"Sportverletz Sportschaden",1,0,0,1
"Physiol Genomics",1,1,0,0
"Circ Cardiovasc Qual Outcomes",2,0,0,2
"Seizure",1,0,0,1
"Addict Behav",1,0,0,1
"J Neuroradiol",1,0,1,0
"J Integr Bioinform",10,2,6,2
"Clin J Am Soc Nephrol",2,0,0,2
"Mycologia",1,0,1,0
"Tissue Antigens",2,0,1,1
"Mol Syst Biol",2,0,2,0
"Biochem Mol Biol Educ",3,0,3,0
"J Breast Cancer",1,0,1,0
"J Bioinform Comput Biol",21,1,18,2
"Ann Pharmacother",1,0,0,1
"Ecotoxicology",1,0,1,0
"Nanoscale",1,0,1,0
"Biochemistry (Mosc)",2,1,1,0
"J Dairy Sci",8,0,5,3
"J Pediatr",1,0,1,0
"Mol Biol Cell",2,1,0,1
"Age (Dordr)",1,1,0,0
"Planta",2,0,0,2
"Anal Chim Acta",2,0,2,0
"Am J Epidemiol",2,0,2,0
"Interdiscip Sci",3,1,1,1
"J Appl Behav Anal",1,0,0,1
"Harefuah",1,0,0,1
"Bioprocess Biosyst Eng",2,1,1,0
"Mamm Genome",5,0,3,2
"BMC Evol Biol",6,1,2,3
"Psychol Sci",1,0,0,1
"Br J Nutr",1,0,0,1
"J Biol Rhythms",1,0,0,1
"Neurology",9,1,2,6
"Twin Res Hum Genet",5,1,1,3
"Child Obes",1,0,0,1
"Value Health",1,1,0,0
"J Clin Endocrinol Metab",2,0,0,2
"BMC Neurosci",2,0,2,0
"IEEE Trans Nanobioscience",5,0,4,1
"Eur Heart J",3,2,0,1
"J Korean Med Sci",2,0,1,1
"Gastrointest Cancer Res",2,0,0,2
"Heart",7,2,1,4
"Skin Res Technol",3,0,2,1
"J Heart Lung Transplant",2,0,2,0
"J Environ Radioact",5,1,1,3
"Adv Appl Bioinform Chem",2,0,2,0
"Mol Divers",4,0,3,1
"Front Neuroanat",2,0,1,1
"Int J Health Geogr",1,1,0,0
"BMJ",3,0,1,2
"Am J Prev Med",1,0,0,1
"Physiotherapy",1,0,1,0
"Horm Metab Res",1,0,0,1
"J Thromb Haemost",1,0,0,1
"Mitochondrion",3,1,1,1
"Health Educ Res",1,0,0,1
"JRSM Short Rep",1,0,0,1
"J Exp Bot",3,1,0,2
"Clin Ther",1,0,0,1
"DNA Repair (Amst)",3,2,0,1
"J Biosci",1,0,1,0
"J Parasitol",1,0,1,0
"J Spinal Cord Med",1,0,0,1
"J Child Neurol",1,0,0,1
"Monaldi Arch Chest Dis",1,0,0,1
"Pediatr Diabetes",1,0,0,1
"MMWR Morb Mortal Wkly Rep",6,0,1,5
"Arzneimittelforschung",2,0,0,2
"Curr Drug Targets",2,1,0,1
"J Womens Health (Larchmt)",1,0,1,0
"Nat Protoc",11,3,8,0
"Ann R Coll Surg Engl",2,1,0,1
"Gac Sanit",2,0,0,2
"BMC Pharmacol Toxicol",1,0,1,0
"Hum Hered",2,0,2,0
"Int J Mol Sci",11,1,8,2
"MBio",5,2,0,3
"Orthopedics",1,0,1,0
"J Chem Phys",4,0,1,3
"Arch Public Health",1,0,0,1
"Int J Bioinform Res Appl",3,1,2,0
"Breastfeed Med",1,0,1,0
"Paediatr Anaesth",1,0,0,1
"Ir J Med Sci",1,0,0,1
"Methods",18,2,14,2
"Dev Biol",1,0,0,1
"Curr Top Microbiol Immunol",1,0,0,1
"J Urban Health",1,1,0,0
"Klin Lab Diagn",1,1,0,0
"J Aging Health",1,0,1,0
"J Agromedicine",1,0,0,1
"Network",1,0,1,0
"Surv Ophthalmol",1,0,0,1
"J Proteomics",11,1,6,4
"Br J Surg",2,0,0,2
"J Am Chem Soc",1,0,0,1
"J Am Acad Nurse Pract",2,0,0,2
"Eur J Clin Pharmacol",1,0,0,1
"IEEE Trans Med Imaging",4,0,1,3
"Drugs Aging",1,0,0,1
"J Natl Cancer Inst",2,0,1,1
"Man Ther",1,0,0,1
"J Electrocardiol",2,1,0,1
"Nucl Med Commun",2,0,0,2
"Biol Mood Anxiety Disord",1,0,0,1
"Allergy Asthma Proc",1,0,0,1
"J Chromatogr B Analyt Technol Biomed Life Sci",3,0,0,3
"Int J Numer Method Biomed Eng",1,0,1,0
"J Lab Autom",2,0,2,0
"Geospat Health",2,2,0,0
"J Spec Oper Med",12,0,1,11
"Int J Biol Markers",1,0,1,0
"IEEE Trans Neural Syst Rehabil Eng",1,0,1,0
"Int J STD AIDS",1,0,0,1
"South Med J",1,0,0,1
"Anat Rec (Hoboken)",3,0,1,2
"Semin Reprod Med",1,0,0,1
"Einstein (Sao Paulo)",1,0,0,1
"Epidemiol Psychiatr Sci",1,0,1,0
"J Comp Neurol",3,1,1,1
"Disabil Rehabil",2,0,1,1
"Arch Toxicol",5,0,0,5
"Genet Test Mol Biomarkers",1,0,1,0
"J Neurosurg",1,0,0,1
"Rev Neurol (Paris)",2,0,0,2
"Cyberpsychol Behav Soc Netw",5,0,5,0
"Ned Tijdschr Geneeskd",11,0,2,9
"J Immunotoxicol",1,0,0,1
"Clin Genitourin Cancer",1,0,0,1
"Physiother Theory Pract",2,0,0,2
"Appl Opt",1,0,1,0
"Obstet Gynecol",5,0,0,5
"BMC Ecol",2,2,0,0
"J Complement Integr Med",1,0,1,0
"Int J Cosmet Sci",1,0,0,1
"Clin Exp Allergy",2,0,0,2
"Theor Biol Med Model",1,0,0,1
"FEMS Yeast Res",2,1,1,0
"Iran J Public Health",1,0,0,1
"Australas Med J",1,1,0,0
"J Rheumatol",2,0,0,2
"Eur J Med Chem",2,0,2,0
"Mob DNA",2,0,1,1
"Bull Cancer",1,0,0,1
"Transcription",1,0,0,1
"Am J Nucl Med Mol Imaging",1,0,1,0
"Vet Pathol",2,0,0,2
"Breed Sci",3,1,0,2
"Scott Med J",1,0,1,0
"Biotechniques",8,0,7,1
"Clin Chem",2,0,1,1
"J Org Chem",1,0,1,0
"BMC Struct Biol",5,0,5,0
"Perception",2,0,0,2
"Aten Primaria",1,0,0,1
"Am J Perinatol",1,0,0,1
"Cancer Genomics Proteomics",1,0,0,1
"Med J Aust",2,0,1,1
"Dermatitis",1,1,0,0
"Emerg Infect Dis",1,0,0,1
"J Public Health Policy",1,0,0,1
"PM R",1,0,0,1
"Arq Neuropsiquiatr",1,0,0,1
"Cancer Sci",1,1,0,0
"Phys Med",1,0,0,1
"Rev Med Suisse",3,0,0,3
"Opt Express",3,0,1,2
"Rom J Morphol Embryol",1,0,0,1
"Front Microbiol",7,3,2,2
"BMC Med Genomics",13,3,9,1
"Int Rev Neurobiol",1,0,0,1
"Am J Orthod Dentofacial Orthop",1,0,1,0
"Rinsho Shinkeigaku",1,0,0,1
"Transpl Int",1,0,0,1
"J Am Acad Child Adolesc Psychiatry",2,0,0,2
"Chem Biol Interact",1,0,0,1
"Clin Interv Aging",1,0,0,1
"Bone Marrow Transplant",1,0,1,0
"Magn Reson Chem",1,0,1,0
"Ann Med Health Sci Res",3,0,0,3
"Regen Med",1,0,0,1
"Nihon Rinsho",3,1,0,2
"Phys Rev E Stat Nonlin Soft Matter Phys",2,0,2,0
"Phys Rev Lett",1,0,0,1
"Z Evid Fortbild Qual Gesundhwes",2,2,0,0
"J Urol",7,0,1,6
"Exp Hematol",1,0,1,0
"J Biomed Opt",2,0,2,0
"J Clin Psychol Med Settings",2,0,0,2
"Front Neurosci",3,1,2,0
"Curr Cardiol Rev",1,0,0,1
"J Mol Biol",7,0,7,0
"J Am Pharm Assoc (2003)",2,0,0,2
"Fam Process",2,0,1,1
"Plant Cell Rep",1,1,0,0
"Rev Prat",1,0,0,1
"Clin Rheumatol",1,0,0,1
"Mov Disord",2,1,0,1
"BMC Complement Altern Med",2,0,0,2
"Hum Genomics",6,0,4,2
"Am J Health Syst Pharm",1,1,0,0
"Insect Biochem Mol Biol",2,0,1,1
"Drug Discov Today",5,0,3,2
"Artif Intell Med",3,0,1,2
"Bundesgesundheitsblatt Gesundheitsforschung Gesund",5,0,0,5
"Ann Hum Genet",1,0,1,0
"Eur J Dent Educ",1,0,0,1
"DNA Res",9,3,4,2
"Hum Reprod Update",2,0,0,2
"AAPS J",3,0,2,1
"J Am Soc Mass Spectrom",8,0,8,0
"Aust N Z J Psychiatry",1,0,0,1
"Implement Sci",5,1,2,2
"Syst Rev",2,0,0,2
"AMIA Annu Symp Proc",10,1,3,6
"J Hepatobiliary Pancreat Sci",4,0,4,0
"J Bone Miner Res",2,1,0,1
"Risk Anal",1,0,0,1
"Breast",3,0,1,2
"J Am Heart Assoc",4,0,0,4
"Int J Obes (Lond)",4,2,2,0
"Nutr Metab (Lond)",6,0,0,6
"J Clin Neurol",1,1,0,0
"Clin Chem Lab Med",3,1,0,2
"J Nat Prod",1,1,0,0
"Cardiol Young",1,0,0,1
"J Psychiatr Pract",1,0,0,1
"Front Psychol",4,1,2,1
"Healthc Inform Res",5,0,3,2
